,routeid,routestring,EndSolution,origin,destination,weights,weight_of_route,route_flow
0,6829884,"['ALB', 'SRB', 'HUN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.25, 0.0, 0.0]",3.25,ALBDEU
1,6824991,"['ALB', 'MNE', 'SRB', 'HUN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 1.5, 0.25, 0.0, 0.0]",4.75,ALBDEU
2,6830083,"['ALB', 'SRB', 'HUN', 'SVK', 'CZE', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.25, 0.25, 0.25, 0.0]",3.75,ALBDEU
3,6829883,"['ALB', 'SRB', 'HUN', 'AUT', 'CZE', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.25, 0.0, 0.25, 0.0]",3.5,ALBDEU
4,6829474,"['ALB', 'SRB', 'HRV', 'HUN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.0]",3.75,ALBDEU
5,6823614,"['ALB', 'MNE', 'HRV', 'HUN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.0]",3.75,ALBDEU
6,6824334,"['ALB', 'MNE', 'HRV', 'SVN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.0]",3.75,ALBDEU
7,6830081,"['ALB', 'SRB', 'HUN', 'SVK', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.25, 0.25, 0.0, 0.0]",3.5,ALBDEU
8,6829752,"['ALB', 'SRB', 'HRV', 'SVN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 0.5, 0.25, 0.0, 0.0]",3.75,ALBDEU
9,6827958,"['ALB', 'MKD', 'SRB', 'HUN', 'AUT', 'DEU']",1,ALB,DEU,"[1.5, 1.5, 1.5, 0.25, 0.0, 0.0]",4.75,ALBDEU
